node_name,ogt_full_signal,ogt_presence_only_signal
FirmA64(467),35.4128,34.406178
FirmA65(468),30.360874,35.520638
FirmA66(469),48.090595,47.673737
FirmA67(470),35.07244,36.880714
FirmA68(471),42.15099,46.757343
FirmA69(472),32.885506,31.196308
FirmA7(473),28.09755,31.922525
FirmA70(474),33.865517,42.129448
FirmA71(475),31.127773,31.948366
FirmA72(476),44.20881,40.68847
FirmA73(477),35.242302,35.352844
FirmA74(478),64.07494,62.10293
FirmA75(479),35.962463,32.81477
FirmA76(480),41.68134,46.25793
FirmA77(481),46.031296,41.21178
FirmA78(482),36.247723,34.503216
FirmA79(483),25.889553,29.838589
FirmA8(484),40.027935,35.591217
FirmA80(485),33.85225,36.426506
FirmA81(486),56.822803,56.61364
FirmA83(487),35.288414,38.588436
FirmA84(488),32.832478,34.507927
FirmA85(489),39.78071,44.95928
FirmA86(490),47.686813,53.354397
FirmA87(491),34.78127,37.482895
FirmA88(492),59.013535,59.8392
FirmA89(493),31.567343,34.452473
FirmA9(494),35.485275,36.43257
FirmA90(495),31.093573,30.421406
FirmA91(496),38.122887,43.60273
FirmA92(497),55.53713,57.125034
FirmA93(498),35.72986,33.91201
FirmA94(499),31.006283,34.471584
FirmA95(500),38.01122,30.242191
FirmA96(501),36.8515,36.197124
FirmA97(502),37.50479,35.210144
FirmA98(503),35.04225,36.955673
FirmA99(504),27.430742,33.284218
FirmB1(505),50.128796,48.394276
FirmB10(506),45.58378,39.5017
FirmB11(507),30.98998,36.133476
FirmB12(508),42.667286,38.794872
FirmB13(509),53.997597,47.702225
FirmB14(510),59.13646,58.956593
FirmB15(511),64.168434,58.75476
FirmB16(512),57.356136,59.43194
FirmB17(513),60.14706,62.760555
FirmB2(514),36.667473,36.821438
FirmB3(515),47.14492,47.730175
FirmB4(516),68.88013,62.14317
FirmB5(517),39.556194,36.31176
FirmB6(518),62.20892,58.686153
FirmB7(519),57.302124,59.55025
FirmB8(520),35.68695,36.888676
FirmB9(521),48.771282,49.962486
FirmC1(522),33.318676,33.226234
FirmC10(523),37.213776,37.064484
FirmC11(524),29.558567,32.44185
FirmC12(525),29.748404,33.766197
FirmC13(526),37.739815,38.091644
FirmC14(527),30.535368,37.99664
FirmC15(528),29.750183,35.026764
FirmC16(529),56.243202,50.645718
FirmC17(530),33.178703,31.51374
FirmC18(531),35.394386,40.38497
FirmC19(532),32.113407,34.716984
FirmC3(533),34.40816,37.743004
FirmC4(534),30.231623,41.28378
FirmC5(535),43.32403,38.669506
FirmC6(536),36.15945,33.34263
FirmC7(537),32.90534,30.688295
FirmC8(538),32.494984,35.476364
FirmC9(539),37.46755,36.750725
FirmD1(540),49.23701,44.961754
FirmD2(541),44.694664,57.506615
FirmD3(542),39.67701,43.22431
FirmD4(543),52.798977,50.48805
FirmE1(544),42.696808,47.82045
FirmE2(545),43.82969,35.796112
FirmE3(546),60.218235,65.05954
FirmE4(547),61.296722,51.238335
FirmE5(548),39.739296,34.065437
FirmE6(549),57.80865,50.41957
FirmE7(550),61.345238,62.93508
FirmE8(551),67.819695,69.41369
FirmF1(552),51.37436,37.839798
FirmF2(553),48.00878,44.22945
FirmF3(554),50.881493,39.881866
FirmG1(555),46.15713,49.83782
FirmG2(556),44.736813,38.50897
FirmG3(557),58.394688,61.099873
FirmG4(558),50.582203,57.104683
FirmG5(559),50.67745,56.311546
FirmG6(560),58.998676,60.128525
Firms1(561),65.42942,65.869095
Firms10(562),62.958908,67.305786
Firms11(563),36.84588,36.989723
Firms12(564),48.47884,51.02468
Firms13(565),59.62477,50.64861
Firms15(566),34.894005,35.622856
Firms16(567),35.217957,37.271946
Firms17(568),37.683678,33.526257
Firms18(569),52.976467,56.615067
Firms2(570),36.941425,28.280867
Firms20(571),49.84557,50.64913
Firms21(572),36.044926,38.05206
Firms22(573),35.055824,34.36241
Firms23(574),32.234283,31.48467
Firms24(575),38.114956,39.577965
Firms25(576),38.167,47.23349
Firms26(577),56.512573,50.526638
Firms27(578),41.546253,42.6035
Firms28(579),38.099224,36.87978
Firms29(580),53.870358,50.95726
Firms3(581),51.53759,46.509426
Firms30(582),27.881374,28.988438
Firms31(583),32.5309,25.411854
Firms32(584),30.94222,38.166542
Firms33(585),46.857006,39.27416
Firms4(586),54.153763,49.965347
Firms5(587),41.365036,36.935448
Firms6(588),36.158596,34.154194
Firms7(589),51.729057,52.710552
Firms8(590),58.551105,58.612823
Firms9(591),28.822369,31.089968
Fuso2(592),34.50075,30.371778
Gemm2(593),32.06432,36.14141
Gemm3(594),49.59357,43.235172
Gemm4(595),30.947832,34.976196
Gemm5(596),36.025146,34.212673
Gemm6(597),52.042564,47.98372
Gemm7(598),58.226986,49.239178
Gemm8(599),58.78291,53.954865
Gemm9(600),31.922556,32.36045
GemmA1(601),31.862627,33.6781
Gold1(602),44.896477,34.39535
Gold2(603),40.84696,35.867844
Hydr1(604),53.116463,49.50448
Hydr2(605),36.5589,37.548374
J088X1(606),39.856922,45.823254
KSB1X1(607),31.948149,36.213783
KSB1X2(608),59.501144,63.75609
KSB1X3(609),27.606554,37.805244
KSB1X4(610),51.01863,45.17798
Krum1(611),39.81724,35.32113
Late1(612),30.180199,34.69676
Late2(613),59.107285,54.24431
Late3(614),44.501442,43.446415
Lind1(615),53.0141,62.50142
Lind2(616),59.37553,61.08433
Lind4(617),53.35553,58.102642
Marg1(618),42.505367,41.42645
Marg2(619),44.053905,37.44434
Marg6(620),52.8004,52.12533
Marg7(621),37.061676,30.052708
Mari1(622),46.696514,49.906815
Mari2(623),57.227566,58.7767
Mari3(624),52.647907,55.03574
Mari5(625),50.437855,45.989624
Mari6(626),47.489754,32.279778
Meth1(627),38.103024,37.03109
Meth2(628),35.86763,32.16943
Meth3(629),42.277817,36.642384
Meth4(630),32.54205,32.274143
Meth5(631),32.187435,29.824165
Muir1(632),43.535927,45.216663
MyxA1(633),27.60842,25.951414
MyxA2(634),36.475716,33.816994
MyxA3(635),32.22212,39.70222
MyxA4(636),45.733955,51.808674
Myxo1(637),26.948582,32.905014
Myxo10(638),33.002563,38.071297
Myxo11(639),36.00435,35.74975
Myxo13(640),33.563873,35.395603
Myxo14(641),28.433495,27.668333
Myxo15(642),29.671339,34.969532
Myxo17(643),31.082983,27.603958
Myxo18(644),28.545065,29.892595
Myxo19(645),29.910728,32.540054
Myxo2(646),54.829067,41.738827
Myxo3(647),30.999462,29.794252
Myxo5(648),30.618502,31.108143
Myxo6(649),26.308458,29.217121
Myxo7(650),33.367683,29.973925
Myxo8(651),28.047796,31.939133
Myxo9(652),34.452423,32.070137
NPL1(653),47.070854,55.964325
Nitr1(654),34.63368,38.636314
Nitr10(655),34.90247,29.378113
Nitr11(656),32.623913,28.023643
Nitr12(657),50.503323,47.873596
Nitr13(658),59.437996,59.347954
Nitr14(659),52.503716,43.600246
Nitr15(660),35.669594,34.921978
Nitr16(661),38.890423,37.050983
Nitr17(662),61.959995,59.128685
Nitr2(663),36.67418,36.52297
Nitr3(664),32.599915,28.613646
Nitr4(665),47.2735,55.982548
Nitr5(666),59.3628,59.3041
Nitr6(667),35.430275,28.364298
Nitr7(668),34.784992,35.470966
Nitr8(669),29.4185,26.992094
